governorate,region
Abha,Asir
Abqaiq,Eastern
Abu Arish,Jazan
Ad Dair,Jazan
Ad Darb,Jazan
Ad Dilam,Riyadh
Ad Diriyah,Riyadh
Ad Duwadimi,Riyadh
Adam,Mecca
Afif,Riyadh
Ahad Al Masarihah,Jazan
Ahad Rufaydah,Asir
Al Aflaj,Riyadh
Al Ahsa,Eastern
Al Aqiq,Al Bahah
Al Ardhiyat,Mecca
Al Aridah,Jazan
Al Asyah,Al Qassim
Al Aydabi,Jazan
Al Badai,Al Qassim
Al Bahah,Al Bahah
Al Birk,Asir
Al Bukayriyah,Al Qassim
Al Ghat,Riyadh
Al Ghazalah,Ḥaʼil
Al Hait,Ḥaʼil
Al Hajrah,Al Bahah
Al Hariq,Riyadh
Al Harjah,Asir
Al Harth,Jazan
Al Hinakiyah,Al-Medina
Al Is,Al-Medina
Al Jubayl,Eastern
Al Jumum,Mecca
Al Kamil,Mecca
Al Khafji,Eastern
Al Kharj,Riyadh
Al Khurmah,Mecca
Al Lith,Mecca
Al Madinah Al Munawwarah,Al-Medina
Al Mahd,Al-Medina
Al Majardah,Asir
Al Majmaah,Riyadh
Al Mandaq,Al Bahah
Al Midhnab,Al Qassim
Al Mukhwah,Al Bahah
Al Muwayh,Mecca
Al Muzahimiyah,Riyadh
Al Nuayriyah,Eastern
Al Qara,Al Bahah
Al Qunfudhah,Mecca
Al Qurayyat,Northern Borders
Al Quwayiyah,Riyadh
Al Taif,Mecca
Al Udayd,Eastern
Al Ula,Al-Medina
Al Uwayqilah,Al-Jawf
Al Wajh,Tabuk
Al-Bad',Tabuk
An Nabhaniyah,Al Qassim
An Nimas,Asir
Ar Rass,Al Qassim
Ar Rayn,Riyadh
Ar Rayth,Jazan
Arar,Al-Jawf
As Sulaymi,Ḥaʼil
As Sulayyil,Riyadh
Ash Shamli,Ḥaʼil
Ash Shimasiyah,Al Qassim
Ash Shinan,Ḥaʼil
At Tuwal,Jazan
Az Zulfi,Riyadh
Badr,Al-Medina
Badr Al Janub,Najran
Bahrah,Mecca
Balqarn,Asir
Bani Hasan,Al Bahah
Baqa,Ḥaʼil
Bariq,Asir
Baysh,Jazan
Biljurashi,Al Bahah
Bishah,Asir
Buraydah,Al Qassim
Damad,Jazan
Dammam,Eastern
Dariyah,Al Qassim
Dawamat Al Jandal,Northern Borders
Duba,Tabuk
Duruma,Riyadh
Farasan,Jazan
Farat Ghamid Az Zinad,Al Bahah
Fayfa,Jazan
Hafar Al Batin,Eastern
Hail,Ḥaʼil
Haqil,Tabuk
Harub,Jazan
Hawtat Bani Tamim,Riyadh
Hubuna,Najran
Huraymila,Riyadh
Jazan,Jazan
Jeddah,Mecca
Khamis Mushayt,Asir
Khaybar,Al-Medina
Khobar,Eastern
Khubash,Najran
Khulays,Mecca
Makkah Al Mukarramah,Mecca
Marat,Riyadh
Mawqaq,Ḥaʼil
Maysan,Mecca
Muhayil,Asir
Najran,Najran
Qaryah Al Ulya,Eastern
Qatif,Eastern
Qilwah,Al Bahah
Rabigh,Mecca
Rafha,Al-Jawf
Ranyah,Mecca
Ras Tannurah,Eastern
Rijal Almaa,Asir
Riyadh Al Khabra,Al Qassim
Riyadh Governorate,Riyadh
Rumah,Riyadh
Sabya,Jazan
Sakaka,Northern Borders
Samtah,Jazan
Sarat Abidah,Asir
Shaqra,Riyadh
Sharurah,Najran
Simira,Ḥaʼil
Tabuk,Tabuk
Tanumah,Asir
Tarib,Asir
Tathlith,Asir
Tayma,Tabuk
Thadiq,Riyadh
Thar,Najran
Tubarjal,Northern Borders
Turayf,Al-Jawf
Turubah,Mecca
Umluj,Tabuk
Unayzah,Al Qassim
Uqlat As Suqur,Al Qassim
Uyun Al Jiwa,Al Qassim
Wadi Ad Dawasir,Riyadh
Wadi Al Fara,Al-Medina
Yadamah,Najran
Yanbu,Al-Medina
Zahran Al Janub,Asir
